<BEGIN> Circle(10, 4, 4); BLACK <END>
<BEGIN> Line(1, 15, 4, 15); Line(4, 15, 4, 13); Line(4, 13, 1, 13); Line(1, 13, 1, 15); BLUE <END>
<BEGIN> Line(0, 18, 0, 18); Line(0, 18, 0, 10); Line(0, 10, 0, 10); Line(0, 10, 0, 18); BLACK <END>
<BEGIN> Line(5, 16, 6, 16); Line(6, 16, 6, 12); Line(6, 12, 5, 12); Line(5, 12, 5, 16); GREEN <END>
<BEGIN> Line(8, 13, 12, 13); Line(12, 13, 12, 4); Line(12, 4, 8, 4); Line(8, 4, 8, 13); GREEN <END>
<BEGIN> Line(7, 18, 10, 18); Line(10, 18, 10, 10); Line(10, 10, 7, 10); Line(7, 10, 7, 18); PURPLE <END>
<BEGIN> Line(0, 18, 0, 18); Line(0, 18, 0, 9); Line(0, 9, 0, 9); Line(0, 9, 0, 18); RED <END>
<BEGIN> Line(5, 11, 14, 11); Line(14, 11, 14, 2); Line(14, 2, 5, 2); Line(5, 2, 5, 11); PURPLE <END>
<BEGIN> Line(5, 13, 8, 13); Line(8, 13, 8, 12); Line(8, 12, 5, 12); Line(5, 12, 5, 13); PURPLE <END>
<BEGIN> Line(0, 10, 5, 10); Line(5, 10, 5, 7); Line(5, 7, 0, 7); Line(0, 7, 0, 10); GREEN <END>
<BEGIN> Line(2, 14, 6, 14); Line(6, 14, 6, 8); Line(6, 8, 2, 8); Line(2, 8, 2, 14); BLUE <END>
<BEGIN> Line(2, 11, 8, 11); Line(8, 11, 8, 2); Line(8, 2, 2, 2); Line(2, 2, 2, 11); BLUE <END>
<BEGIN> Line(5, 17, 9, 17); Line(9, 17, 9, 11); Line(9, 11, 5, 11); Line(5, 11, 5, 17); BLUE <END>
<BEGIN> Line(7, 16, 9, 16); Line(9, 16, 9, 6); Line(9, 6, 7, 6); Line(7, 6, 7, 16); BLACK <END>
<BEGIN> Line(5, 16, 6, 16); Line(6, 16, 6, 15); Line(6, 15, 5, 15); Line(5, 15, 5, 16); BLACK <END>
<BEGIN> Line(1, 17, 2, 17); Line(2, 17, 2, 12); Line(2, 12, 1, 12); Line(1, 12, 1, 17); GREEN <END>
<BEGIN> Line(5, 10, 12, 10); Line(12, 10, 12, 6); Line(12, 6, 5, 6); Line(5, 6, 5, 10); BLACK <END>
<BEGIN> Line(9, 12, 19, 12); Line(19, 12, 19, 11); Line(19, 11, 9, 11); Line(9, 11, 9, 12); BLUE <END>
<BEGIN> Line(1, 19, 3, 19); Line(3, 19, 3, 13); Line(3, 13, 1, 13); Line(1, 13, 1, 19); BLACK <END>
<BEGIN> Line(5, 14, 10, 14); Line(10, 14, 10, 13); Line(10, 13, 5, 13); Line(5, 13, 5, 14); BLUE <END>
<BEGIN> Line(0, 11, 1, 11); Line(1, 11, 1, 2); Line(1, 2, 0, 2); Line(0, 2, 0, 11); RED <END>
<BEGIN> Line(4, 17, 7, 17); Line(7, 17, 7, 14); Line(7, 14, 4, 14); Line(4, 14, 4, 17); GREEN <END>
<BEGIN> Line(3, 15, 3, 15); Line(3, 15, 3, 9); Line(3, 9, 3, 9); Line(3, 9, 3, 15); PURPLE <END>
<BEGIN> Line(1, 13, 10, 13); Line(10, 13, 10, 6); Line(10, 6, 1, 6); Line(1, 6, 1, 13); RED <END>
<BEGIN> Line(8, 19, 9, 19); Line(9, 19, 9, 16); Line(9, 16, 8, 16); Line(8, 16, 8, 19); GREEN <END>
<BEGIN> Line(5, 14, 9, 14); Line(9, 14, 9, 11); Line(9, 11, 5, 11); Line(5, 11, 5, 14); PURPLE <END>
<BEGIN> Line(7, 18, 13, 18); Line(13, 18, 13, 13); Line(13, 13, 7, 13); Line(7, 13, 7, 18); BLACK <END>
<BEGIN> Line(5, 13, 8, 13); Line(8, 13, 8, 10); Line(8, 10, 5, 10); Line(5, 10, 5, 13); GREEN <END>
<BEGIN> Line(1, 10, 2, 10); Line(2, 10, 2, 1); Line(2, 1, 1, 1); Line(1, 1, 1, 10); BLACK <END>
<BEGIN> Line(7, 13, 13, 13); Line(13, 13, 13, 12); Line(13, 12, 7, 12); Line(7, 12, 7, 13); BLACK <END>
<BEGIN> Line(3, 13, 10, 13); Line(10, 13, 10, 12); Line(10, 12, 3, 12); Line(3, 12, 3, 13); RED <END>
<BEGIN> Line(4, 15, 10, 15); Line(10, 15, 10, 13); Line(10, 13, 4, 13); Line(4, 13, 4, 15); RED <END>
<BEGIN> Line(7, 19, 7, 19); Line(7, 19, 7, 18); Line(7, 18, 7, 18); Line(7, 18, 7, 19); BLUE <END>
<BEGIN> Line(5, 19, 6, 19); Line(6, 19, 6, 10); Line(6, 10, 5, 10); Line(5, 10, 5, 19); PURPLE <END>
<BEGIN> Line(6, 15, 12, 15); Line(12, 15, 12, 9); Line(12, 9, 6, 9); Line(6, 9, 6, 15); GREEN <END>
<BEGIN> Line(4, 18, 13, 18); Line(13, 18, 13, 15); Line(13, 15, 4, 15); Line(4, 15, 4, 18); BLUE <END>
<BEGIN> Line(5, 10, 13, 10); Line(13, 10, 13, 8); Line(13, 8, 5, 8); Line(5, 8, 5, 10); BLUE <END>
<BEGIN> Line(3, 14, 7, 14); Line(7, 14, 7, 6); Line(7, 6, 3, 6); Line(3, 6, 3, 14); GREEN <END>
<BEGIN> Line(4, 12, 6, 12); Line(6, 12, 6, 12); Line(6, 12, 4, 12); Line(4, 12, 4, 12); BLUE <END>
<BEGIN> Line(5, 12, 14, 12); Line(14, 12, 14, 4); Line(14, 4, 5, 4); Line(5, 4, 5, 12); PURPLE <END>
<BEGIN> Line(2, 19, 4, 19); Line(4, 19, 4, 11); Line(4, 11, 2, 11); Line(2, 11, 2, 19); RED <END>
<BEGIN> Line(9, 11, 19, 11); Line(19, 11, 19, 7); Line(19, 7, 9, 7); Line(9, 7, 9, 11); GREEN <END>
<BEGIN> Line(2, 17, 2, 17); Line(2, 17, 2, 14); Line(2, 14, 2, 14); Line(2, 14, 2, 17); PURPLE <END>
<BEGIN> Line(5, 11, 7, 11); Line(7, 11, 7, 3); Line(7, 3, 5, 3); Line(5, 3, 5, 11); PURPLE <END>
<BEGIN> Line(4, 15, 8, 15); Line(8, 15, 8, 8); Line(8, 8, 4, 8); Line(4, 8, 4, 15); BLUE <END>
<BEGIN> Line(3, 14, 5, 14); Line(5, 14, 5, 10); Line(5, 10, 3, 10); Line(3, 10, 3, 14); BLACK <END>
<BEGIN> Line(0, 12, 9, 12); Line(9, 12, 9, 4); Line(9, 4, 0, 4); Line(0, 4, 0, 12); BLACK <END>
<BEGIN> Line(7, 18, 9, 18); Line(9, 18, 9, 9); Line(9, 9, 7, 9); Line(7, 9, 7, 18); BLACK <END>
<BEGIN> Line(0, 17, 2, 17); Line(2, 17, 2, 8); Line(2, 8, 0, 8); Line(0, 8, 0, 17); GREEN <END>
<BEGIN> Line(1, 12, 4, 12); Line(4, 12, 4, 5); Line(4, 5, 1, 5); Line(1, 5, 1, 12); RED <END>
<BEGIN> Line(7, 14, 10, 14); Line(10, 14, 10, 11); Line(10, 11, 7, 11); Line(7, 11, 7, 14); RED <END>
<BEGIN> Line(4, 15, 8, 15); Line(8, 15, 8, 8); Line(8, 8, 4, 8); Line(4, 8, 4, 15); BLACK <END>
<BEGIN> Line(7, 11, 12, 11); Line(12, 11, 12, 1); Line(12, 1, 7, 1); Line(7, 1, 7, 11); BLACK <END>
<BEGIN> Line(2, 19, 10, 19); Line(10, 19, 10, 16); Line(10, 16, 2, 16); Line(2, 16, 2, 19); RED <END>
<BEGIN> Line(3, 12, 7, 12); Line(7, 12, 7, 3); Line(7, 3, 3, 3); Line(3, 3, 3, 12); BLUE <END>
<BEGIN> Line(4, 16, 8, 16); Line(8, 16, 8, 14); Line(8, 14, 4, 14); Line(4, 14, 4, 16); BLACK <END>
<BEGIN> Line(7, 19, 8, 19); Line(8, 19, 8, 17); Line(8, 17, 7, 17); Line(7, 17, 7, 19); PURPLE <END>
<BEGIN> Line(9, 12, 9, 12); Line(9, 12, 9, 5); Line(9, 5, 9, 5); Line(9, 5, 9, 12); RED <END>
<BEGIN> Line(3, 15, 7, 15); Line(7, 15, 7, 9); Line(7, 9, 3, 9); Line(3, 9, 3, 15); RED <END>
<BEGIN> Line(3, 13, 4, 13); Line(4, 13, 4, 13); Line(4, 13, 3, 13); Line(3, 13, 3, 13); BLUE <END>
<BEGIN> Line(7, 17, 16, 17); Line(16, 17, 16, 12); Line(16, 12, 7, 12); Line(7, 12, 7, 17); GREEN <END>
<BEGIN> Line(6, 12, 6, 12); Line(6, 12, 6, 7); Line(6, 7, 6, 7); Line(6, 7, 6, 12); BLUE <END>
<BEGIN> Line(6, 12, 10, 12); Line(10, 12, 10, 5); Line(10, 5, 6, 5); Line(6, 5, 6, 12); PURPLE <END>
<BEGIN> Line(3, 11, 6, 11); Line(6, 11, 6, 9); Line(6, 9, 3, 9); Line(3, 9, 3, 11); PURPLE <END>
<BEGIN> Line(1, 16, 5, 16); Line(5, 16, 5, 16); Line(5, 16, 1, 16); Line(1, 16, 1, 16); BLACK <END>
<BEGIN> Line(4, 16, 9, 16); Line(9, 16, 9, 11); Line(9, 11, 4, 11); Line(4, 11, 4, 16); RED <END>
<BEGIN> Line(2, 10, 4, 10); Line(4, 10, 4, 10); Line(4, 10, 2, 10); Line(2, 10, 2, 10); PURPLE <END>
<BEGIN> Line(8, 13, 10, 13); Line(10, 13, 10, 5); Line(10, 5, 8, 5); Line(8, 5, 8, 13); BLACK <END>
<BEGIN> Line(6, 13, 13, 13); Line(13, 13, 13, 10); Line(13, 10, 6, 10); Line(6, 10, 6, 13); RED <END>
<BEGIN> Line(4, 14, 10, 14); Line(10, 14, 10, 12); Line(10, 12, 4, 12); Line(4, 12, 4, 14); BLUE <END>
<BEGIN> Line(8, 18, 12, 18); Line(12, 18, 12, 9); Line(12, 9, 8, 9); Line(8, 9, 8, 18); GREEN <END>
<BEGIN> Line(6, 18, 9, 18); Line(9, 18, 9, 17); Line(9, 17, 6, 17); Line(6, 17, 6, 18); PURPLE <END>
<BEGIN> Line(0, 17, 2, 17); Line(2, 17, 2, 16); Line(2, 16, 0, 16); Line(0, 16, 0, 17); PURPLE <END>
<BEGIN> Line(5, 12, 11, 12); Line(11, 12, 11, 5); Line(11, 5, 5, 5); Line(5, 5, 5, 12); PURPLE <END>
<BEGIN> Line(1, 10, 11, 10); Line(11, 10, 11, 2); Line(11, 2, 1, 2); Line(1, 2, 1, 10); BLUE <END>
<BEGIN> Line(7, 16, 10, 16); Line(10, 16, 10, 10); Line(10, 10, 7, 10); Line(7, 10, 7, 16); BLACK <END>
<BEGIN> Line(1, 18, 4, 18); Line(4, 18, 4, 15); Line(4, 15, 1, 15); Line(1, 15, 1, 18); BLUE <END>
<BEGIN> Line(3, 14, 10, 14); Line(10, 14, 10, 14); Line(10, 14, 3, 14); Line(3, 14, 3, 14); RED <END>
<BEGIN> Line(7, 16, 12, 16); Line(12, 16, 12, 10); Line(12, 10, 7, 10); Line(7, 10, 7, 16); BLUE <END>
<BEGIN> Line(1, 15, 8, 15); Line(8, 15, 8, 9); Line(8, 9, 1, 9); Line(1, 9, 1, 15); GREEN <END>
<BEGIN> Line(9, 8, 16, 19); Line(16, 19, 9, 9); Line(9, 9, 9, 8); BLUE <END>
<BEGIN> Line(2, 8, 7, 14); Line(7, 14, 6, 11); Line(6, 11, 2, 8); RED <END>
<BEGIN> Line(11, 1, 9, 15); Line(9, 15, 18, 5); Line(18, 5, 11, 1); PURPLE <END>
<BEGIN> Line(15, 0, 15, 19); Line(15, 19, 10, 9); Line(10, 9, 15, 0); PURPLE <END>
<BEGIN> Line(13, 13, 8, 13); Line(8, 13, 15, 7); Line(15, 7, 13, 13); GREEN <END>
<BEGIN> Line(9, 16, 11, 6); Line(11, 6, 16, 8); Line(16, 8, 9, 16); BLUE <END>
<BEGIN> Line(2, 6, 16, 2); Line(16, 2, 19, 9); Line(19, 9, 2, 6); PURPLE <END>
<BEGIN> Line(5, 6, 10, 5); Line(10, 5, 15, 10); Line(15, 10, 5, 6); GREEN <END>
<BEGIN> Line(3, 17, 14, 0); Line(14, 0, 3, 18); Line(3, 18, 3, 17); BLUE <END>
<BEGIN> Line(18, 7, 9, 3); Line(9, 3, 17, 15); Line(17, 15, 18, 7); PURPLE <END>
<BEGIN> Line(1, 12, 12, 8); Line(12, 8, 9, 2); Line(9, 2, 1, 12); PURPLE <END>
<BEGIN> Line(8, 8, 11, 10); Line(11, 10, 6, 9); Line(6, 9, 8, 8); PURPLE <END>
<BEGIN> Line(9, 8, 3, 12); Line(3, 12, 11, 19); Line(11, 19, 9, 8); PURPLE <END>
<BEGIN> Line(13, 10, 1, 6); Line(1, 6, 9, 14); Line(9, 14, 13, 10); RED <END>
<BEGIN> Line(4, 4, 18, 14); Line(18, 14, 9, 9); Line(9, 9, 4, 4); RED <END>
<BEGIN> Line(7, 18, 2, 12); Line(2, 12, 9, 18); Line(9, 18, 7, 18); RED <END>
<BEGIN> Line(15, 4, 12, 17); Line(12, 17, 8, 7); Line(8, 7, 15, 4); PURPLE <END>
<BEGIN> Line(7, 5, 3, 4); Line(3, 4, 17, 8); Line(17, 8, 7, 5); BLACK <END>
<BEGIN> Line(8, 5, 14, 1); Line(14, 1, 2, 6); Line(2, 6, 8, 5); GREEN <END>
<BEGIN> Line(13, 4, 15, 3); Line(15, 3, 17, 8); Line(17, 8, 13, 4); BLUE <END>
<BEGIN> Line(15, 6, 18, 3); Line(18, 3, 6, 15); Line(6, 15, 15, 6); BLACK <END>
<BEGIN> Line(19, 2, 10, 11); Line(10, 11, 9, 10); Line(9, 10, 19, 2); GREEN <END>
<BEGIN> Line(4, 19, 5, 1); Line(5, 1, 11, 4); Line(11, 4, 4, 19); BLUE <END>
<BEGIN> Line(9, 8, 12, 5); Line(12, 5, 16, 4); Line(16, 4, 9, 8); GREEN <END>
<BEGIN> Line(11, 16, 14, 1); Line(14, 1, 6, 19); Line(6, 19, 11, 16); BLUE <END>
<BEGIN> Line(16, 2, 14, 12); Line(14, 12, 17, 8); Line(17, 8, 16, 2); BLUE <END>
<BEGIN> Line(2, 3, 3, 14); Line(3, 14, 17, 12); Line(17, 12, 2, 3); RED <END>
<BEGIN> Line(17, 5, 18, 4); Line(18, 4, 11, 7); Line(11, 7, 17, 5); GREEN <END>
<BEGIN> Line(18, 4, 2, 12); Line(2, 12, 14, 6); Line(14, 6, 18, 4); BLACK <END>
<BEGIN> Line(0, 16, 17, 5); Line(17, 5, 12, 6); Line(12, 6, 0, 16); BLACK <END>
<BEGIN> Line(1, 4, 16, 14); Line(16, 14, 9, 8); Line(9, 8, 1, 4); RED <END>
<BEGIN> Line(1, 12, 13, 0); Line(13, 0, 2, 18); Line(2, 18, 1, 12); BLACK <END>
<BEGIN> Line(5, 9, 3, 15); Line(3, 15, 16, 18); Line(16, 18, 5, 9); BLACK <END>
<BEGIN> Line(3, 11, 14, 13); Line(14, 13, 8, 7); Line(8, 7, 3, 11); BLUE <END>
<BEGIN> Line(9, 17, 15, 15); Line(15, 15, 13, 13); Line(13, 13, 9, 17); BLUE <END>
<BEGIN> Line(11, 14, 19, 14); Line(19, 14, 1, 19); Line(1, 19, 11, 14); PURPLE <END>
<BEGIN> Line(1, 15, 12, 3); Line(12, 3, 12, 4); Line(12, 4, 1, 15); BLACK <END>
<BEGIN> Line(9, 16, 11, 9); Line(11, 9, 7, 2); Line(7, 2, 9, 16); BLACK <END>
<BEGIN> Line(4, 9, 1, 18); Line(1, 18, 16, 13); Line(16, 13, 4, 9); PURPLE <END>
<BEGIN> Line(18, 15, 12, 0); Line(12, 0, 17, 11); Line(17, 11, 18, 15); GREEN <END>
<BEGIN> Line(17, 17, 1, 5); Line(1, 5, 19, 11); Line(19, 11, 17, 17); RED <END>
<BEGIN> Line(13, 7, 10, 11); Line(10, 11, 10, 10); Line(10, 10, 13, 7); BLACK <END>
<BEGIN> Line(2, 3, 16, 8); Line(16, 8, 3, 15); Line(3, 15, 2, 3); RED <END>
<BEGIN> Line(3, 18, 18, 8); Line(18, 8, 17, 16); Line(17, 16, 3, 18); BLACK <END>
<BEGIN> Line(5, 18, 17, 19); Line(17, 19, 18, 15); Line(18, 15, 5, 18); BLACK <END>
<BEGIN> Line(10, 5, 13, 12); Line(13, 12, 14, 7); Line(14, 7, 10, 5); BLUE <END>
<BEGIN> Line(1, 5, 13, 9); Line(13, 9, 1, 11); Line(1, 11, 1, 5); GREEN <END>
<BEGIN> Line(16, 5, 7, 15); Line(7, 15, 18, 0); Line(18, 0, 16, 5); PURPLE <END>
<BEGIN> Line(10, 9, 12, 18); Line(12, 18, 4, 12); Line(4, 12, 10, 9); BLACK <END>
<BEGIN> Line(6, 7, 14, 4); Line(14, 4, 9, 15); Line(9, 15, 6, 7); BLACK <END>
<BEGIN> Line(15, 2, 14, 0); Line(14, 0, 6, 15); Line(6, 15, 15, 2); GREEN <END>
<BEGIN> Line(0, 16, 15, 12); Line(15, 12, 9, 7); Line(9, 7, 0, 16); BLACK <END>
<BEGIN> Line(17, 14, 16, 19); Line(16, 19, 19, 13); Line(19, 13, 17, 14); RED <END>
<BEGIN> Line(16, 17, 17, 17); Line(17, 17, 14, 0); Line(14, 0, 16, 17); GREEN <END>
<BEGIN> Line(18, 3, 8, 16); Line(8, 16, 5, 7); Line(5, 7, 18, 3); BLUE <END>
<BEGIN> Line(13, 12, 17, 14); Line(17, 14, 11, 8); Line(11, 8, 13, 12); PURPLE <END>
<BEGIN> Line(14, 13, 15, 18); Line(15, 18, 12, 0); Line(12, 0, 14, 13); BLACK <END>
<BEGIN> Line(9, 15, 3, 5); Line(3, 5, 14, 8); Line(14, 8, 9, 15); GREEN <END>
<BEGIN> Line(2, 8, 8, 4); Line(8, 4, 7, 8); Line(7, 8, 2, 8); RED <END>
<BEGIN> Line(18, 8, 7, 9); Line(7, 9, 10, 13); Line(10, 13, 18, 8); BLACK <END>
<BEGIN> Line(12, 14, 8, 17); Line(8, 17, 12, 4); Line(12, 4, 12, 14); PURPLE <END>
<BEGIN> Line(10, 12, 8, 11); Line(8, 11, 9, 16); Line(9, 16, 10, 12); BLACK <END>
<BEGIN> Line(4, 7, 15, 16); Line(15, 16, 8, 13); Line(8, 13, 4, 7); BLACK <END>
<BEGIN> Line(15, 5, 12, 14); Line(12, 14, 14, 17); Line(14, 17, 15, 5); PURPLE <END>
<BEGIN> Line(14, 4, 8, 16); Line(8, 16, 4, 16); Line(4, 16, 14, 4); GREEN <END>
<BEGIN> Line(18, 17, 15, 17); Line(15, 17, 1, 3); Line(1, 3, 18, 17); RED <END>
<BEGIN> Line(9, 0, 6, 7); Line(6, 7, 13, 1); Line(13, 1, 9, 0); GREEN <END>
<BEGIN> Line(1, 19, 14, 13); Line(14, 13, 1, 3); Line(1, 3, 1, 19); PURPLE <END>
<BEGIN> Line(1, 16, 18, 3); Line(18, 3, 12, 15); Line(12, 15, 1, 16); RED <END>
<BEGIN> Line(5, 6, 12, 15); Line(12, 15, 11, 17); Line(11, 17, 5, 6); BLACK <END>
<BEGIN> Line(15, 9, 3, 2); Line(3, 2, 2, 4); Line(2, 4, 15, 9); PURPLE <END>
<BEGIN> Line(18, 7, 12, 15); Line(12, 15, 7, 1); Line(7, 1, 18, 7); RED <END>
<BEGIN> Line(19, 14, 17, 4); Line(17, 4, 2, 3); Line(2, 3, 19, 14); PURPLE <END>
<BEGIN> Line(13, 13, 19, 2); Line(19, 2, 17, 11); Line(17, 11, 13, 13); GREEN <END>
<BEGIN> Line(19, 11, 16, 18); Line(16, 18, 3, 6); Line(3, 6, 19, 11); GREEN <END>
<BEGIN> Line(19, 15, 18, 7); Line(18, 7, 14, 15); Line(14, 15, 19, 15); PURPLE <END>
<BEGIN> Line(4, 9, 13, 7); Line(13, 7, 18, 2); Line(18, 2, 4, 9); BLACK <END>
<BEGIN> Line(16, 1, 13, 13); Line(13, 13, 4, 6); Line(4, 6, 16, 1); PURPLE <END>
<BEGIN> Line(19, 5, 0, 8); Line(0, 8, 12, 4); Line(12, 4, 19, 5); BLACK <END>
<BEGIN> Line(3, 9, 3, 14); Line(3, 14, 11, 11); Line(11, 11, 3, 9); GREEN <END>
<BEGIN> Line(2, 3, 18, 16); Line(18, 16, 18, 8); Line(18, 8, 2, 3); BLACK <END>
<BEGIN> Line(1, 15, 12, 2); Line(12, 2, 11, 2); Line(11, 2, 1, 15); BLUE <END>
<BEGIN> Line(11, 5, 16, 7); Line(16, 7, 14, 19); Line(14, 19, 11, 5); RED <END>
<BEGIN> Line(16, 10, 18, 1); Line(18, 1, 2, 11); Line(2, 11, 16, 10); RED <END>
<BEGIN> Line(9, 5, 14, 12); Line(14, 12, 14, 8); Line(14, 8, 9, 5); GREEN <END>
<BEGIN> Line(1, 14, 11, 5); Line(11, 5, 19, 17); Line(19, 17, 1, 14); GREEN <END>
<BEGIN> Line(8, 4, 12, 1); Line(12, 1, 0, 10); Line(0, 10, 8, 4); PURPLE <END>
<BEGIN> Line(4, 1, 17, 0); Line(17, 0, 18, 2); Line(18, 2, 4, 1); GREEN <END>
<BEGIN> Line(19, 14, 6, 12); Line(6, 12, 14, 2); Line(14, 2, 19, 14); GREEN <END>
<BEGIN> Line(19, 8, 14, 17); Line(14, 17, 7, 18); Line(7, 18, 19, 8); GREEN <END>
<BEGIN> Line(9, 0, 12, 7); Line(12, 7, 5, 11); Line(5, 11, 9, 0); PURPLE <END>
<BEGIN> Line(14, 16, 6, 18); Line(6, 18, 1, 8); Line(1, 8, 14, 16); RED <END>
<BEGIN> Line(5, 2, 17, 5); Line(17, 5, 8, 5); Line(8, 5, 5, 2); BLUE <END>
<BEGIN> Line(8, 10, 11, 12); Line(11, 12, 10, 11); Line(10, 11, 8, 10); BLACK <END>
<BEGIN> Line(5, 9, 5, 9); Line(5, 9, 18, 7); Line(18, 7, 5, 9); RED <END>
<BEGIN> Line(8, 11, 2, 19); Line(2, 19, 8, 15); Line(8, 15, 8, 11); BLACK <END>
<BEGIN> Line(15, 4, 8, 3); Line(8, 3, 17, 10); Line(17, 10, 15, 4); BLACK <END>
<BEGIN> Line(15, 4, 7, 10); Line(7, 10, 0, 19); Line(0, 19, 15, 4); GREEN <END>
<BEGIN> Line(0, 7, 2, 18); Line(2, 18, 6, 19); Line(6, 19, 0, 7); BLUE <END>
<BEGIN> Line(2, 0, 6, 13); Line(6, 13, 0, 5); Line(0, 5, 2, 0); RED <END>
<BEGIN> Line(14, 6, 16, 10); Line(16, 10, 11, 18); Line(11, 18, 14, 6); RED <END>
<BEGIN> Line(7, 19, 14, 2); Line(14, 2, 13, 11); Line(13, 11, 7, 19); PURPLE <END>
<BEGIN> Line(5, 15, 16, 8); Line(16, 8, 8, 9); Line(8, 9, 5, 15); PURPLE <END>
<BEGIN> Line(14, 3, 10, 0); Line(10, 0, 17, 5); Line(17, 5, 14, 3); BLACK <END>
<BEGIN> Line(11, 13, 15, 1); Line(15, 1, 5, 14); Line(5, 14, 11, 13); RED <END>
<BEGIN> Line(2, 17, 8, 19); Line(8, 19, 6, 13); Line(6, 13, 2, 17); PURPLE <END>
<BEGIN> Line(6, 12, 8, 11); Line(8, 11, 12, 7); Line(12, 7, 6, 12); GREEN <END>
<BEGIN> Line(17, 11, 16, 14); Line(16, 14, 12, 13); Line(12, 13, 17, 11); GREEN <END>
<BEGIN> Line(7, 8, 18, 17); Line(18, 17, 7, 5); Line(7, 5, 7, 8); BLUE <END>
<BEGIN> Line(16, 15, 5, 19); Line(5, 19, 14, 11); Line(14, 11, 16, 15); BLACK <END>
<BEGIN> Line(4, 7, 11, 13); Line(11, 13, 19, 3); Line(19, 3, 4, 7); RED <END>
<BEGIN> Line(0, 16, 6, 14); Line(6, 14, 9, 1); Line(9, 1, 0, 16); PURPLE <END>
<BEGIN> Line(18, 10, 19, 19); Line(19, 19, 14, 2); Line(14, 2, 18, 10); BLACK <END>
<BEGIN> Line(11, 14, 10, 4); Line(10, 4, 15, 14); Line(15, 14, 11, 14); BLUE <END>
<BEGIN> Line(12, 14, 4, 12); Line(4, 12, 19, 8); Line(19, 8, 12, 14); PURPLE <END>
<BEGIN> Line(11, 11, 10, 12); Line(10, 12, 6, 0); Line(6, 0, 11, 11); RED <END>
<BEGIN> Line(18, 9, 17, 15); Line(17, 15, 15, 1); Line(15, 1, 18, 9); PURPLE <END>
<BEGIN> Line(13, 11, 15, 1); Line(15, 1, 13, 7); Line(13, 7, 13, 11); GREEN <END>
<BEGIN> Line(4, 7, 6, 6); Line(6, 6, 13, 15); Line(13, 15, 4, 7); BLUE <END>
<BEGIN> Line(7, 12, 18, 12); Line(18, 12, 11, 11); Line(11, 11, 7, 12); BLACK <END>
<BEGIN> Line(15, 0, 10, 2); Line(10, 2, 16, 9); Line(16, 9, 15, 0); GREEN <END>
<BEGIN> Line(0, 11, 18, 18); Line(18, 18, 18, 14); Line(18, 14, 0, 11); BLACK <END>
<BEGIN> Line(14, 8, 15, 8); Line(15, 8, 6, 15); Line(6, 15, 14, 8); GREEN <END>
<BEGIN> Line(13, 18, 13, 3); Line(13, 3, 14, 8); Line(14, 8, 13, 18); RED <END>
<BEGIN> Line(0, 16, 11, 2); Line(11, 2, 5, 13); Line(5, 13, 0, 16); PURPLE <END>
<BEGIN> Line(1, 13, 3, 1); Line(3, 1, 1, 10); Line(1, 10, 1, 13); BLACK <END>
<BEGIN> Line(17, 3, 8, 2); Line(8, 2, 6, 17); Line(6, 17, 17, 3); RED <END>
<BEGIN> Line(7, 3, 5, 2); Line(5, 2, 11, 12); Line(11, 12, 7, 3); BLACK <END>
<BEGIN> Line(18, 6, 0, 12); Line(0, 12, 18, 16); Line(18, 16, 18, 6); GREEN <END>
<BEGIN> Line(12, 10, 2, 7); Line(2, 7, 18, 18); Line(18, 18, 12, 10); BLUE <END>
<BEGIN> Line(10, 13, 7, 19); Line(7, 19, 6, 0); Line(6, 0, 10, 13); RED <END>
<BEGIN> Line(15, 19, 19, 3); Line(19, 3, 19, 3); Line(19, 3, 15, 19); RED <END>
<BEGIN> Line(15, 4, 9, 16); Line(9, 16, 15, 17); Line(15, 17, 15, 4); GREEN <END>
<BEGIN> Line(16, 19, 11, 6); Line(11, 6, 18, 0); Line(18, 0, 16, 19); RED <END>
<BEGIN> Line(11, 5, 8, 6); Line(8, 6, 5, 15); Line(5, 15, 11, 5); GREEN <END>
<BEGIN> Line(14, 5, 18, 0); Line(18, 0, 12, 4); Line(12, 4, 14, 5); BLACK <END>
<BEGIN> Line(7, 12, 13, 3); Line(13, 3, 7, 13); Line(7, 13, 7, 12); BLUE <END>
<BEGIN> Line(19, 15, 19, 3); Line(19, 3, 7, 12); Line(7, 12, 19, 15); BLACK <END>
<BEGIN> Line(2, 6, 0, 6); Line(0, 6, 19, 10); Line(19, 10, 2, 6); BLACK <END>
<BEGIN> Line(0, 17, 6, 12); Line(6, 12, 7, 5); Line(7, 5, 0, 17); BLUE <END>
<BEGIN> Line(3, 0, 12, 17); Line(12, 17, 10, 16); Line(10, 16, 3, 0); BLACK <END>
<BEGIN> Line(3, 9, 10, 3); Line(10, 3, 9, 0); Line(9, 0, 3, 9); PURPLE <END>
<BEGIN> Line(8, 16, 16, 16); Line(16, 16, 19, 1); Line(19, 1, 8, 16); BLACK <END>
<BEGIN> Line(9, 0, 6, 10); Line(6, 10, 9, 9); Line(9, 9, 9, 0); PURPLE <END>
<BEGIN> Line(17, 10, 19, 9); Line(19, 9, 2, 0); Line(2, 0, 17, 10); RED <END>
<BEGIN> Line(15, 9, 7, 5); Line(7, 5, 6, 14); Line(6, 14, 15, 9); BLUE <END>
<BEGIN> Line(11, 18, 10, 13); Line(10, 13, 3, 10); Line(3, 10, 11, 18); GREEN <END>
